POS;CLUB;Played;Won;Drawn;Lost;Goals For;Goals against;Goal Difference;Points
1;Leicester City;30;18;9;3;53;31;22;63
2;Tottenham Hotspur;30;16;10;4;53;24;29;58
3;Arsenal;29;15;7;7;46;30;16;52
4;Manchester City;29;15;6;8;52;31;21;51
5;West Ham United;29;13;10;6;45;33;12;49
6;Manchester United;29;13;8;8;37;27;10;47
7;Southampton;30;12;8;10;38;30;8;44
8;Liverpool;28;12;8;8;43;37;6;44
9;Stoke City;30;12;7;11;32;36;-4;43
10;Chelsea;29;10;10;9;43;39;4;40
11;West Bromwich Albion;29;10;9;10;30;36;-6;39
12;Everton;28;9;11;8;51;39;12;38
13;Bournemouth;30;10;8;12;38;47;-9;38
14;Watford;29;10;7;12;29;30;-1;37
15;Crystal Palace;29;9;6;14;32;39;-7;33
16;Swansea City;30;8;9;13;30;40;-10;33
17;Sunderland;29;6;7;16;35;54;-19;25
18;Norwich City;30;6;7;17;31;54;-23;25
19;Newcastle United;29;6;6;17;28;54;-26;24
20;Aston Villa;30;3;7;20;22;57;-35;16
