Date;Name;City, State;Country
13.08.1917;Miracle of the Sun;Fatima, Santarem District;Portugal
18.05.1946;UFO-Memorial Angelholm;Angelholm, Kristianstads County;Sweden
21.06.1947;Maury Island incident;Puget Sound near Maury Island, Washington;United States
24.06.1947;Kenneth Arnold UFO sighting;north of Mount Rainier,Washington;United States
07.06.1947;1947 UFO sightings;mostly Washington;United States
23.07.1947;Bauru Close Encounter;Bauru, Sao Paulo;Brazil
07.01.1948;Thomas Mantell;Kentucky;United States
24.07.1948;Chiles-Whitted UFO encounter;Alabama;United States
01.10.1948;Gorman dogfight;North Dakota;United States
15.10.1948;Fukuoka Incident;Kyushu Island;Japan,
24.04.1950;Varese Close Encounter;Abbiate Guazzone,Lombardy;Italy
11.05.1950;McMinnville UFO photographs;a farm near McMinnville,Oregon;United States
25.08.1951;Lubbock Lights;Lubbock, Texas;United States
10.09.1951;Fort Monmouth UFO Case;Monmouth County, New Jersey;United States
16.07.1952;1952 Salem, Massachusetts UFO incident;Coast Guard Air Station Salem;United States
24.07.1952;Carson Sink UFO incident;near Carson Sink,Nevada;United States
12.09.1952;The Flatwoods Monster;Flatwoods, West Virginia;United States
21.05.1953;Prescott Sightings;Prescott, Arizona;United States
12.08.1953;Ellsworth UFO sighting;Bismarck, North Dakota;United States
23.11.1953;The disappearance of Felix Moncla and Robert Wilson;near the Soo Locks overLake Superior;United States/Canada
16.12.1953;Kelly Johnson/Santa Barbara Channel Case;Seen from Agoura, California, and from aircraft flying over Pacific Ocean;United States
16.08.1954;Tananarive UFO incident;Tananarive;Madagascar
15.09.1954;Manbhum UFO sighting;Manbhum, Bihar;India
24.07.1956;Drakensberg Contactee;Drakensberg;South Africa
03.05.1957;Edwards Air Force Base flying saucer filming;Edwards Air Force Base(about 22 mi northeast ofLancaster), California;United States
20.05.1957;Milton Torres 1957 UFO Encounter;East Anglia;United Kingdom
17.06.1957;The RB-47 UFO Encounter;Forbes Air Force Base, Topeka, Kansas;United States
04.09.1957;Portugal mothership sighting;Between Granada andPortalegre;Spain /Portugal
02.11.1957;Levelland UFO Case;Levelland, Texas;United States
16.01.1958;Trindade UFO Incident;Trindade Island;Brazil
02.02.1959;Dyatlov Pass incident;Kholat Syakhl, Sverdlovsk Oblast;Soviet Union
26.06.1959;Father William Booth Gill sighting;Boianai, Territory of Papua and New Guinea;Australia
19.09.1961;Betty and Barney Hill abduction;south of Lancaster onRoute 3, New Hampshire;United States
24.04.1964;Lonnie Zamora incident;Socorro, New Mexico;United States
05.09.1964;Cisco Grove Encounter;Cisco Grove, California;United States
09.03.1965;The Incident at Exeter;Exeter, New Hampshire;United States
01.07.1965;The Valensole UFO incident;Valensole, Provence-Alpes-Cote d'Azur;France
03.07.1965;UFO sightings in Antarctica;Deception Island;Antarctica
16.09.1965;1965 Craft Landing;Pretoria-Bronkhorstspruit;South Africa
09.12.1965;Kecksburg UFO incident;Kecksburg, Pennsylvania;United States
06.04.1966;Westall UFO;Clayton South, Victoria;Australia
15.04.1966;Catalina Island UFO;Catalina Island;United States
17.04.1966;Portage County UFO chase;Ohio;United States
25.01.1967;Betty Andreasson Abduction;South Ashburnham, Massachusetts;United States
20.05.1967;Falcon Lake incident;near Falcon Lake inWhiteshell Provincial Park, Manitoba;Canada
29.08.1967;Close encounter of Cussac;outside Cussac,Auvergne;France
07.09.1967;Snippy the Horse Mutilation;near Alamosa in the San Luis Valley, Colorado;United States
04.10.1967;Shag Harbour UFO incident;Gulf of Maine near Shag Harbour, Nova Scotia;Canada
18.02.1968;Vashon Island incident;Vashon Island,Washington State;United States
07.08.1968;Buff Ledge Camp Abduction;north of Burlington atLake Champlain,Vermont;United States
28.11.1968;The Sverdlovsk Midget;Sverdlovsk (todayYekaterinburg);Soviet Union
06.01.1969;Jimmy Carter UFO incident;Leary, Georgia;United States
01.01.1970;Cowichan District Hospital UFO;Duncan, British Columbia;Canada
27.06.1972;1972 UFO sightings in the eastern Cape;Fort Beaufort;South Africa
12.11.1972;1972 UFO sightings in the eastern Cape;Rosmead;South Africa
20.09.1973;Skylab 3 UFO Encounter;space station Skylab 3 in Earth orbit;outer space
11.10.1973;Pascagoula Abduction;near Pascagoula at the Pascagoula River, Mississippi;United States
17.10.1973;Eglin Air Force Base Sighting;Florida;United States
23.01.1974;Berwyn Mountain UFO incident;Llandrillo,Merionethshire, North Wales;United Kingdom
31.05.1974;1974 Abduction Event;Beitbridge;South Africa
25.08.1974;Coyame UFO incident;Coyame, Chihuahua;Mexico
12.01.1975;Stonehenge incident;North Bergen, New Jersey;United States
30.10.1975;Wurtsmith AFB;Near Oscoda, Michigan;United States
05.11.1975;Travis Walton;near Turkey Springs inApache-Sitgreaves National Forest, Arizona;United States
22.06.1976;1976 Canary Isles sightings;Canary Islands;Spain
